Items for sale,********,********,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
month,day,year,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
September, 1st,2020,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
item,********,price total,availability,usage,value,Quantity,Price per item,Notes,item count,********
Google Play card,price:,$15.00,available,unused,$15 balance,1x,$15.00,"I have no use for this item, so I am selling it. It has never been used",1,********
Starbucks card,price:,$10.00,available,unused,$10 balance,1x,$10.00,"I have no use for this item, so I am selling it. It has never been used",2,********
Sextuple shelf,price:,$6.50, available,used,no balance,1x,$6.50,"Made of wood, 6 total shelves",3,********
Windows 95 keyboard,price:,$9.50, available,unused,no balance,1x,$9.50,"Does not support USB, only has a PS/2 port (not to be confused with PlayStation 2)",4,********
Lava lamp,price:,$40.00, available,unused,no balance,1x,$40.00,"Uses lots of power, try to keep on for 8 hour intervals to save power.",5,********
TinTin DVD,price:,$5.00, available,unused,no balance,1x,$5.00,"480i quality, I don’t have a way of playing DVDs, so I am selling it",6,********
Shrek 2 DVD,price:,$5.00, unavailable,used,no balance,1x,$5.00,"480i quality, I don’t have a way of playing DVDs, so I am selling it",7,********
Glow in the dark Nerf water pellet rifle (green),price:,$30.00, available,used,no balance,1x,$30.00,Does not come with orbees that are shot from it,8,********
Green surgical scissors,price:,$3.00,available,used,no balance,1x,$3.00,Functions as normal scissors,9,********
Stix and balls,price:,$12.50, available,used,no balance,1x,$12.50,"Keep away from electronics, its all magnetic. It is also hard to open",10,********
Crayon 96 pack,price:,$8.00, available,unused,no balance,1x,$8.00,"Many colors, all unused",11,********
Uplink octo-HDMI hub (8 HDMI ports),price:,$5.00, available,unused,no balance,1x,$5.00,"8 HDMI port support, no HDMI cords provided",12,********
Gear VR Headset,price:,$80.00, available,used,no balance,1x,$80.00,Requires the Facebook Oculus app. Only works on Samsung Galaxy S7 edge with Android 6.0 or newer. Uses up battery and overheats Samsung galaxy s7 edge very quickly,,********
September 1st 2020 total,total:,$229.50,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
September, 2nd,2020,********,********,********,********,********,****************************************************************************************************************************************************************************************,item count,********
See-through plastic rounded ruler, price:,$0.25, available,unused,no balance,1x,$0.25,"For use in mathematics, uses the imperial system by default, but also has the metric system","1, 13",********
4 mb/s Internet USB adapter, price:,$3.00, available,used,no balance,2x,$1.50,"Very slow Internet for modern Internet, but can work well","2, 15",********
September 2nd 2020 total,total:,$2.00,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
September,3rd,2020,(new),********,********,********,********,****************************************************************************************************************************************************************************************,item count,********
Weebie Jeebies – Jellyfish diver,price:,$1.50,available,unused,no balance,1x,$1.50,An aquatic toy/decoration,"1, 16",********
Silver sunglasses,price:,$4.00,available,unused,no balance,1x,$4.00,"Not made of silver, but has a silver tint","2, 17",********
Heirloom Pumpkin seed packet,price:,$1.00,available,unused,no balance,1x,$1.00,Plant in the spring,"3, 18",********
Blue 15 amp fuse,price:,$0.10,available,unused,no balance,1x,$0.10,Unknown usage,"4, 19",********
Green 30 amp fuse,price:,$0.12,available,unused,no balance,1x,$0.12,Unknown usage,"5, 20",********
Surgical jelly donut headrest,price:,$150.00,available,used,no balance,1x,$150.00,"Common surgery item, $100.00 off","6, 21",********
LG 2 device HDMI switch,price:,$2.00,available,unused,no balance,1x,$2.00,"Switches between 2 HDMI inputs, 1 at a time","7, 22",********
Black flashlight,price:,$2.00,available,used,no balance,1x,$2.00,Does not come with batteries,"8, 23",********
Leather Wallet,price:,$5.00,available,unused,no balance,1x,$5.00,"Does not come with money, or cards","9, 24",********
8 Gigabyte USB microdrive,price:,$1.00,available,unused,no balance,1x,$1.00,"Very small, and may not work on all devices","10, 25",********
Jack-in-the-box football antenna decoration,price:,$1.25,available,unused,no balance,1x,$1.25,To be placed on a car antenna,"11, 26",********
HTC Phone USB adapter,price:,$1.25,available,used,no balance,1x,$1.25,Does not come with the part that plugs into a phone,"12, 27",********
Triple outlet extension,price:,$1.25,available,unused,no balance,1x,$1.25,Can plug in 3 items. Must plug into an outlet,"13, 28",********
Portable speaker,price:,$2.00,available,unused,no balance,1x,$2.00,Plugs in with an aux cord. Decent 24 bit audio is output.,"14, 29",********
Halo Charge it 3000,price:,$5.00,available,unused,no balance,1x,$5.00,Also acts as a mirror. Can charge 1 device at a time. Unsure if it also wirelessly charges.,"15, 30",********
September 3rd 2020 total,total:,$177.47,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
September,4th,2020,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
No items listed here yet,price:,$0.00,null,null,null,********,********,****************************************************************************************************************************************************************************************,********,********
September 4th 2020 total,total:,$0.00,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
September 2020 total,total:,$408.97,********,********,********,********,********,****************************************************************************************************************************************************************************************,********,********
